Order	Line_item	Date	Creative	Order_ID	Line_item_ID	Creative_ID	Agency_ID	Line_item_start_date	Line_item_end_date	Rate__	Goal_quantity	Total_impressions	Total_clicks	Total_CTR	
110737_Chick-Fil-A, Inc.- Catering Nuggets 2016	100287967-1_RON_Now_Mobile Android Branded Background-Day(Sunny, Rainy, Cloudy)_GEO-Cntxl DMA(Savannah-507)_GEO-IP Country(US)	2/6/2016	110737_mobile_BB_savannah_sunny_320x50_20416	383538737	207960497	83407735217	-	2/3/2016	3/13/2016	14	56027	24	1	0.0417	
110737_Chick-Fil-A, Inc.- Catering Nuggets 2016	100287968-1_RON_Now_Mobile iPhone Branded Background-Night(Clear, Rainy, Cloudy)_GEO-Cntxl DMA(Savannah-507)_GEO-IP Country(US)	2/6/2016	110737_mobile_BB_savannah_rainy night_320x50_20416	383538737	207960737	83405723777	-	2/3/2016	3/13/2016	14	19684	59	0	0	
110737_Chick-Fil-A, Inc.- Catering Nuggets 2016	100287968-1_RON_Now_Mobile iPhone Branded Background-Night(Clear, Rainy, Cloudy)_GEO-Cntxl DMA(Savannah-507)_GEO-IP Country(US)	2/6/2016	110737_mobile_BB_savannah_cloudy night_320x50_20416	383538737	207960737	83405727377	-	2/3/2016	3/13/2016	14	19684	363	4	0.011	
110737_Chick-Fil-A, Inc.- Catering Nuggets 2016	100287968-1_RON_Now_Mobile iPhone Branded Background-Night(Clear, Rainy, Cloudy)_GEO-Cntxl DMA(Savannah-507)_GEO-IP Country(US)	2/6/2016	110737_mobile_BB_savannah_clear_320x50_20416	383538737	207960737	83405729537	-	2/3/2016	3/13/2016	14	19684	239	1	0.0042	
110737_Chick-Fil-A, Inc.- Catering Nuggets 2016	100287969-1_RON_Now_Mobile Android Branded Background-Night(Clear, Rainy, Cloudy)_GEO-Cntxl DMA(Savannah-507)_GEO-IP Country(US)	2/6/2016	110737_mobile_BB_savannah_rainy night_320x50_20416	383538737	207960977	83405723777	-	2/3/2016	3/13/2016	14	19684	51	0	0	
110737_Chick-Fil-A, Inc.- Catering Nuggets 2016	100287969-1_RON_Now_Mobile Android Branded Background-Night(Clear, Rainy, Cloudy)_GEO-Cntxl DMA(Savannah-507)_GEO-IP Country(US)	2/6/2016	110737_mobile_BB_savannah_cloudy night_320x50_20416	383538737	207960977	83405727377	-	2/3/2016	3/13/2016	14	19684	332	5	0.0151	
110737_Chick-Fil-A, Inc.- Catering Nuggets 2016	100287969-1_RON_Now_Mobile Android Branded Background-Night(Clear, Rainy, Cloudy)_GEO-Cntxl DMA(Savannah-507)_GEO-IP Country(US)	2/6/2016	110737_mobile_BB_savannah_clear_320x50_20416	383538737	207960977	83405729537	-	2/3/2016	3/13/2016	14	19684	293	0	0	
110737_Chick-Fil-A, Inc.- Catering Nuggets 2016	100287971-1_RON_Now_Mobile iPhone Branded Background-Day(Sunny, Rainy, Cloudy)_GEO-Cntxl DMA(Ft Myers Naples-571)_GEO-IP Country(US)	2/6/2016	110737_mobile_BB_ft myers_sunny_320x50_20416	383538737	207961217	83404201817	-	2/3/2016	3/13/2016	14	42149	13	0	0	
110737_Chick-Fil-A, Inc.- Catering Nuggets 2016	100287971-1_RON_Now_Mobile iPhone Branded Background-Day(Sunny, Rainy, Cloudy)_GEO-Cntxl DMA(Ft Myers Naples-571)_GEO-IP Country(US)	2/6/2016	110737_mobile_BB_ft myers_cloudy day_320x50_20416	383538737	207961217	83405017817	-	2/3/2016	3/13/2016	14	42149	1616	19	0.0118	
110737_Chick-Fil-A, Inc.- Catering Nuggets 2016	100287971-1_RON_Now_Mobile iPhone Branded Background-Day(Sunny, Rainy, Cloudy)_GEO-Cntxl DMA(Ft Myers Naples-571)_GEO-IP Country(US)	2/6/2016	110737_mobile_BB_ft myers_rainy day_320x50_20416	383538737	207961217	83405464817	-	2/3/2016	3/13/2016	14	42149	344	0	0	
